movie,region,country,grosss
IT,North America,Mexico,25887400
IT,South America,Brazil,19800000
IT,South America,Argentina,11400000
IT,Europe,Germany,32823476
IT,Europe,France,19200000
IT,Europe,Italy,16127604
IT,Europe,UK,42361659
IT,Asia,Hong Kong,1700000
IT,Asia,Indonesia,6000000
IT,Asia,South Korea,6459009
IT,Africa,South Africa,1404796
IT,Australia & NewZealand,Australia,18800000
IT,Australia & NewZealand,NewZealand,2260834
Get Out,North America,Mexico,2024910
Get Out,South America,Brazil,1718918
Get Out,South America,Argentina,843476
Get Out,Europe,Germany,5057217
Get Out,Europe,France,9079404
Get Out,Europe,Italy,1257308
Get Out,Europe,UK,12743043
Get Out,Asia,Hong Kong,922138
Get Out,Asia,Indonesia,469807
Get Out,Asia,South Korea,15586968
Get Out,Africa,South Africa,177278
Get Out,Australia & NewZealand,Australia,4516086
Get Out,Australia & NewZealand,NewZealand,383064
Annabelle: Creation,North America,Mexico,18700000
Annabelle: Creation,South America,Brazil,12800000
Annabelle: Creation,South America,Argentina,7134393
Annabelle: Creation,Europe,Germany,6300000
Annabelle: Creation,Europe,France,10600000
Annabelle: Creation,Europe,Italy,4200000
Annabelle: Creation,Europe,UK,10800000
Annabelle: Creation,Asia,Hong Kong,1900000
Annabelle: Creation,Asia,Indonesia,9800000
Annabelle: Creation,Asia,South Korea,13677454
Annabelle: Creation,Africa,South Africa,320481
Annabelle: Creation,Australia & NewZealand,Australia,5700000
Annabelle: Creation,Australia & NewZealand,NewZealand,932932
Alien: Covenant,North America,Mexico,5416692
Alien: Covenant,South America,Brazil,2877961
Alien: Covenant,South America,Argentina,1107763
Alien: Covenant,Europe,Germany,5772016
Alien: Covenant,Europe,France,9897877
Alien: Covenant,Europe,Italy,3028372
Alien: Covenant,Europe,UK,16858551
Alien: Covenant,Asia,Hong Kong,3360017
Alien: Covenant,Asia,Indonesia,1865891
Alien: Covenant,Asia,South Korea,9426664
Alien: Covenant,Africa,South Africa,223103
Alien: Covenant,Australia & NewZealand,Australia,6933228
Alien: Covenant,Australia & NewZealand,NewZealand,875807
Don't Breathe,North America,Mexico,3375582
Don't Breathe,South America,Brazil,3173338
Don't Breathe,South America,Argentina,1633892
Don't Breathe,Europe,Germany,4537745
Don't Breathe,Europe,France,2576423
Don't Breathe,Europe,Italy,1177756
Don't Breathe,Europe,UK,5019182
Don't Breathe,Asia,Hong Kong,1082220
Don't Breathe,Asia,Indonesia,1801830
Don't Breathe,Asia,South Korea,7592979
Don't Breathe,Africa,South Africa,19857
Don't Breathe,Australia & NewZealand,Australia,3711259
Don't Breathe,Australia & NewZealand,NewZealand,366936